28 65
0 4 7
0 9 3
0 16 29
1 20 15
2 14 18
3 1 4
3 4 2
3 17 1
4 2 24
4 13 19
4 14 15
4 23 15
4 24 5
4 27 9
5 16 17
5 22 6
6 15 22
7 4 16
7 6 22
8 12 2
8 14 26
9 2 3
10 3 14
10 12 15
10 21 9
11 4 25
11 5 11
11 23 18
12 2 13
12 3 28
12 9 20
12 15 17
13 20 24
14 23 5
14 25 10
14 27 13
15 7 21
15 14 11
15 17 5
16 7 21
16 14 19
16 24 30
16 27 5
18 17 24
18 20 29
18 24 6
19 10 28
21 1 2
21 8 5
21 16 1
21 20 18
22 8 14
22 21 21
23 5 8
23 18 5
23 26 1
23 27 19
24 2 1
24 10 11
25 12 3
25 15 17
25 20 3
25 23 19
26 16 27
27 18 7
